title,popularity,favorites,studios
3x3 Eyes,0.1520678826752188,0.0004219846015430304,1751
Cinderella Boy,0.2543595911004209,3.980986807009721e-05,882
Mirai Shounen Conan,0.11047638137235251,0.002683185107924552,981
Aa! Megami-sama!: Chicchai tte Koto wa Benri da ne,0.17227901383042696,0.00010748664378926247,1010
Aa! Megami-sama! Movie,0.1268123204382976,0.00040606065431499154,36
Abashiri Ikka,0.3081445847531235,3.582888126308749e-05,1584
Abenobashi Mahou☆Shoutengai,0.08051045633727534,0.001584432749189869,856
Kerokko Demetan,0.41999064608806036,1.9904934035048607e-05,1713
Zettai Shounen,0.17548606935257569,0.00029857401052572907,98
Akahori Gedou Hour Rabuge,0.2753390793078105,3.184789445607777e-05,1233
"Chiisana Obake: Acchi, Kocchi, Socchi",0.40475713235785393,3.980986807009721e-06,1574
Ace wo Nerae!,0.19853678091801966,0.00047373743003415684,1780
Ace wo Nerae! Final Stage,0.3559831629585087,4.3790854877106935e-05,1780
Ace wo Nerae! (1979),0.3047370882608405,5.5733815298136095e-05,1780
Ace wo Nerae! 2,0.3278880203113516,0.00017118243270141802,1780
Xiao Qian,0.3555488741898844,2.3885920842058325e-05,1801
Nageki no Kenkou Yuuryouji,0.2837576000534509,8.360072294720415e-05,36
Final Fantasy VII: Advent Children,0.04252689249682635,0.004450743250236869,1410
Hand Maid May,0.14882742032471438,0.00015923947228038885,1692
Happy World!,0.28342353176989377,2.7866907649068047e-05,1948
A Kite,0.08839446782922429,0.001656090511716044,145
Najica Dengeki Sakusen,0.19616489610476381,7.165776252617498e-05,1487
Paradise Kiss,0.03597915413910603,0.021365956193221174,856
Mousou Dairinin,0.01834034876728803,0.025159836620301437,856
Kidou Keisatsu Patlabor: On Television,0.1251085721921561,0.0020303032715749576,1635
Peach Girl,0.07252622436025924,0.003769994506238206,1458
Petshop of Horrors,0.0936727467094274,0.0019785504430838313,856
Puchi Pri*Yucie,0.19499565711231376,0.0003980986807009721,503
Piano,0.24310148994454467,4.777184168411665e-05,1010
Planetes,0.03337342152736019,0.01642953255252912,1635
Midori no Hibi,0.05031068350370815,0.0027866907649068046,1574
Mahoujin Guruguru,0.2219549675953765,0.0003224599313677874,981
Dokidoki♡Densetsu: Mahoujin Guruguru,0.32100621367007415,2.3885920842058325e-05,981
Mama wa Shougaku 4-nensei,0.2617090933386784,0.00020303032715749577,1635
Marmalade Boy,0.10703547805171376,0.0024960787279950953,1751
Matantei Loki Ragnarok,0.13399478853477653,0.0007404635461038081,1467
Ginyuu Mokushiroku Meine Liebe,0.20942740696198303,0.00011942960421029163,211
Psychic Academy,0.21891494621500635,4.3790854877106935e-05,397
Versailles no Bara,0.07262644484532638,0.013626917840394276,1780
Serial Experiments Lain,0.007716977350170374,0.13108195259440908,1801
Mutsu Enmei Ryuu Gaiden: Shura no Toki,0.164628850136968,0.0005453951925603318,1458
Spiral: Suiri no Kizuna,0.11328255495423264,0.0012102199893309553,688
Starship Operators,0.1923565176722122,0.0001871063799294569,688
Tsukuyomi: Moon Phase,0.09066613215741297,0.00114254321361179,1327
Futatsu no Spica,0.22436025923698805,0.0003065359841397485,568
Eikoku Koi Monogatari Emma,0.10295984499231643,0.0014968510394356553,1574
W: Wish,0.19566379367942807,5.971480210514582e-05,1807
Wild Arms: Twilight Venom,0.24787866639941206,5.5733815298136095e-05,211
Binzume Yousei,0.1801964321507316,0.00025080216884161246,1893
Magical Canan,0.26949288434556024,2.3885920842058325e-05,37
Ojamajo Doremi,0.10499766152201509,0.003527154311010613,1751
Ojamajo Doremi Sharp,0.16730139640542527,0.0005294712453322929,1751
Motto! Ojamajo Doremi,0.16953965390525824,0.0006528818363495943,1751
Ojamajo Doremi Dokkaan!,0.18437228569519612,0.0012500298574010524,1751
UG☆Ultimate Girls,0.2355515467361529,1.5923947228038885e-05,1558
Shakugan no Shana,0.01486603861829358,0.01997261081076777,688
Fate/stay night,0.006313890559230306,0.030490377954887453,1467
Bokusatsu Tenshi Dokuro-chan,0.04286096078038351,0.00400089174104477,590
"Iriya no Sora, UFO no Natsu",0.16195630386851073,0.00028663105010469993,1751
I'll/CKBC,0.2974209928509387,2.3885920842058325e-05,837
Himiko-den,0.27710964121066345,3.980986807009721e-06,568
Memories Off,0.2719315828155275,1.9904934035048607e-05,397
Memories Off 2nd,0.3257165764682301,7.961973614019442e-06,1132
Memories Off 3.5,0.341250751653638,3.980986807009721e-06,1132
Gallery Fake,0.19476180931382375,0.000242840195227593,1775
Fake,0.17358188013629988,0.0002786690764906805,688
AIKa,0.1324914812587693,0.0003582888126308749,1486
Akazukin Chacha OVA,0.3685775372486136,2.3885920842058325e-05,517
Bible Black,0.09905124607469766,0.0024045160314338718,1527
Boogiepop wa Warawanai,0.05782721988374424,0.00513547298104254,856
Burn Up Excess,0.21006213670074164,9.55436833682333e-05,882
Cardcaptor Sakura Movie 1,0.07663526424801229,0.0008718361107351289,856
Cardcaptor Sakura Movie 2: Fuuin Sareta Card,0.06875125275606334,0.0020103983375399093,856
Bannou Bunka Neko-Musume,0.2053517739025857,0.0001512774986663694,1491
Bannou Bunka Neko-Musume DASH!,0.27841250751653634,4.3790854877106935e-05,163
Bannou Bunka Neko-Musume (1998),0.24029531636266455,4.3790854877106935e-05,163
"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",0.04576735484733079,0.001086809398313654,145
eX-Driver,0.2135364468497361,0.00016322045908739858,82
eX-Driver the Movie,0.291040288634997,1.9904934035048607e-05,82
Heppoko Jikken Animation Excel♥Saga,0.07052181465891628,0.0042636368703074115,688
Fushigi Yuugi OVA,0.16887151733814393,0.0002109923007715152,1574
Fushigi Yuugi: Dai Ni Bu,0.17675552883009288,0.00017516341950842774,1574
Futari Ecchi,0.13533106166900516,0.0003742127598589138,292
Galaxy Angel,0.149695997861963,0.0008519311767000803,856
Gantz,0.023685441304202578,0.01013559241064675,541
Gilgamesh,0.12370548540121601,0.000800178348208954,574
H2,0.23191020244537985,0.00013933453824534024,163
Haibane Renmei,0.0277276675352442,0.0368161659912259,1233
Capeta,0.13212400614685643,0.0013216876199272274,1458
Karas,0.10192423331328923,0.0012739157782431108,1713
