title,popularity,favorites,studios
InuYasha,251,20032,Sunrise
Konjiki no Gash Bell!!,1903,1362,Toei Animation
Kyou kara Maou!,2066,1407,Studio Deen
Madlax,3760,159,Bee Train
Jungle wa Itsumo Hare nochi Guu,3545,444,Shin-Ei Animation
Jungle wa Itsumo Hare nochi Guu Deluxe,6282,23,Shin-Ei Animation
Jungle wa Itsumo Hare nochi Guu Final,7025,14,Shin-Ei Animation
Hoshi no Koe,1649,546,CoMix Wave Films
Ikkitousen,1561,460,J.C.Staff
Hitsuji no Uta,5522,41,Madhouse
Happy☆Lesson,6579,14,Studio Kyuuma|Venet|Chaos Project
Happy☆Lesson (TV),4599,38,Studio Hibari
Happy☆Lesson Advance,5921,8,Studio Hibari
Happy☆Lesson The Final,7115,7,Studio Ranmaru
Hajime no Ippo,348,25186,Madhouse
Hajime no Ippo: Champion Road,1706,277,Madhouse
Hajime no Ippo: Mashiba vs. Kimura,2008,235,Madhouse
Gunparade March: Arata Naru Kougunka,5647,27,J.C.Staff
Gungrave,1286,2545,Madhouse
Golden Boy,570,6709,APPP
Bleach,34,83502,Studio Pierrot
Hellsing,291,6606,Gonzo
Gad Guard,6019,31,Gonzo|Amber Film Works
Noir,2055,912,Bee Train
Mahoutsukai ni Taisetsu na Koto,4688,35,J.C.Staff|Viewworks
Kiddy Grade,3596,254,Gonzo
Love♥Love?,5151,13,Imagin|Studio Live
Mahoromatic: Automatic Maiden,2972,224,Gainax|Shaft
Mahoromatic: Motto Utsukushii Mono,4315,49,Gainax|Shaft
Viewtiful Joe,6457,28,Group TAC
Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,3881,148,TMS Entertainment
Animal Yokochou,10252,17,Gallop
Akane Maniax,5518,10,Silver
Angel Heart,5470,94,TMS Entertainment
Akage no Anne,3494,981,Nippon Animation
Area 88 (TV),5981,67,Group TAC
Argento Soma,4598,95,Sunrise
B'T X,6390,38,TMS Entertainment
Grappler Baki (TV),1639,899,Group TAC
Bakuten Shoot Beyblade,2078,425,Madhouse
Comic Party,5277,47,OLM
Seikai no Monshou,3307,481,Sunrise
D.C.S.S: Da Capo Second Season,4316,37,feel.
Dear Boys,5162,55,A.C.G.T.
Di Gi Charat,4689,282,Madhouse
Divergence Eve,6094,18,Radix
Divergence Eve 2: Misaki Chronicles,7627,12,Radix
Dragon Drive,5044,56,Madhouse
Grenadier: Hohoemi no Senshi,3249,84,Group TAC|Studio Live
.hack//Tasogare no Udewa Densetsu,2939,141,Bee Train
.hack//Liminality,4317,38,Bee Train
3x3 Eyes,4553,106,Toei Animation
Cinderella Boy,7615,10,Magic Bus
Mirai Shounen Conan,3308,674,Nippon Animation
Aa! Megami-sama!: Chicchai tte Koto wa Benri da ne,5158,27,OLM
Aa! Megami-sama! Movie,3797,102,AIC
Abashiri Ikka,9225,9,Studio Pierrot|Tokyo Kids
Abenobashi Mahou☆Shoutengai,2411,398,Madhouse
Kerokko Demetan,12573,5,Tatsunoko Production
Zettai Shounen,5254,75,Ajia-do
Akahori Gedou Hour Rabuge,8243,8,Radix
"Chiisana Obake: Acchi, Kocchi, Socchi",12117,1,Studio Pierrot
Ace wo Nerae!,5944,119,Tokyo Movie Shinsha
Ace wo Nerae! Final Stage,10657,11,Tokyo Movie Shinsha
Ace wo Nerae! (1979),9123,14,Tokyo Movie Shinsha
Ace wo Nerae! 2,9816,43,Tokyo Movie Shinsha
Xiao Qian,10644,6,Triangle Staff
Nageki no Kenkou Yuuryouji,8495,21,AIC
Final Fantasy VII: Advent Children,1274,1118,Square Enix Visual Works
Hand Maid May,4456,40,TNK
Happy World!,8485,7,Zexcs
A Kite,2647,416,Arms
Najica Dengeki Sakusen,5873,18,Studio Fantasia|Amber Film Works
Paradise Kiss,1078,5367,Madhouse
Mousou Dairinin,550,6320,Madhouse
Kidou Keisatsu Patlabor: On Television,3746,510,Sunrise
Peach Girl,2172,947,Studio Comet
Petshop of Horrors,2805,497,Madhouse
Puchi Pri*Yucie,5838,100,Gainax|AIC
Piano,7278,12,OLM
Planetes,1000,4127,Sunrise
Midori no Hibi,1507,700,Studio Pierrot
Mahoujin Guruguru,6645,81,Nippon Animation
Dokidoki♡Densetsu: Mahoujin Guruguru,9610,6,Nippon Animation
Mama wa Shougaku 4-nensei,7835,51,Sunrise
Marmalade Boy,3205,627,Toei Animation
Matantei Loki Ragnarok,4012,186,Studio Deen
Ginyuu Mokushiroku Meine Liebe,6270,30,Bee Train
Psychic Academy,6554,11,E&G Films
Versailles no Bara,2175,3423,Tokyo Movie Shinsha
Serial Experiments Lain,232,32927,Triangle Staff
Mutsu Enmei Ryuu Gaiden: Shura no Toki,4929,137,Studio Comet
Spiral: Suiri no Kizuna,3392,304,J.C.Staff
Starship Operators,5759,47,J.C.Staff
Tsukuyomi: Moon Phase,2715,287,Shaft
Futatsu no Spica,6717,77,Group TAC
Eikoku Koi Monogatari Emma,3083,376,Studio Pierrot
W: Wish,5858,15,Trinet Entertainment|Picture Magic
Wild Arms: Twilight Venom,7421,14,Bee Train
